mWepsBlasterName,displayName,minecraftToolName,customModelData,speed,ammoStacks,armor,arrowType,tagName,weaponType,lore
Demolisher,Demolisher,netherite_shovel,,-13,4,0,r,demolisher,p,"Reliable full auto blaster with an underbarrel grenade launcher. Grenades do high damage to crowds of zombies. Accustrike darts weaken zombies, making them do less damage."
Nexus-Pro,Nexus Pro,music_disc_ward,,-15,3,0,r,nexusPro,p,Long range rifle with extremely high dart velocity. Can use both regular and Mega darts. Can pierce through dozens of zombies.
Aeon-Pro,Aeon Pro,music_disc_wait,,10,0,0,r,aeonPro,s,"The Nexus Pros little brother, offering similar power in a smaller package. Compact size offers mobility, but sacrifices accuracy and reload speed. "
Roughercut,Roughercut,music_disc_strad,,0,3,0,r,roughercut,p,"A rare variant of the Roughcut with unique upgrades. Tuned for maximum slam-fire performance, fires much faster than normal at the cost of accuracy.  Zombiestrike darts inflict Wither on zombeis, dealing extra damage over time."
Trilogy,Trilogy,blue_dye,,-4,3,0,r,trilogy,p,"Heavy hitting shotgun with a slow fire rate, but very wide spread.  Deals very high damage upfront, and can take out several zombies in one hit."
TwinShock,Twinshock,redstone,,-5,3,0,s,twinshock,p,"Giant rapid fire mega shotgun, shredding through crowds with ease at the cost of increased ammo consumption"
Halo-MA40,Halo MA40,music_disc_mall,,0,4,0,r,ma40,p,"Efficient full auto blaster with balanced stopping power, firerate, and ammo consumption.  "
Dublaster,Dublaster,music_disc_mellohi,,0,2,0,s,dublaster,p,"Proof that a blue Twinshock can exist, and a symbol of power for the Udub HvZ Club before the apocalypse.  Only the truly worthy may wield it."
Spectrum,Spectrum,lime_dye,,0,3,0,r,spectrum,p,Tactical full auto blaster with high fire rate and accuracy.  Better version of the Stryfe.
Sonic-Ice-Magnus,Sonic Ice Magnus,bow,,0,0,0,r,icemagnus,s,"Recovered from the icy hands of a fallen survivor, this frozen Magnus has been repaired, firing darts cold enough to freeze zombies solid!"
Sock,Sock,snowball,,25,0,0,r,sock,s,"Extremely light weight with high melee damage, and can be thrown infinitely.  All around good backup for zombies that get too close."
Ban-Hammershot,Ban Hammershot,music_disc_13,,16,3,0,r,banhammershot,s,The yellow caution tape pattern means keep out!  Too bad the zombies wont listen...
Villiainator,Villainator,music_disc_cat,,20,4,0,r,villainator,p,DAKKA DAKKA DAKKA!
Super-Soaker,Super Soaker,iron_ingot,,20,0,0,r,superSoaker,s,"Despite this water gun's harmless appearance, it turns out that zombies hate getting wet, rendering them non-threats.  Inflicts Weakness on zombies. "
Thunderblast,Thunderblast,gold_ingot,,0,0,0,r,thunderBlast,s,"Ever wanted a pocket rocket?  Then the Thunderblast is for you, if you are willing to carry the extra weight."
Titan-RPG,Titan RPG,diamond,,-15,2,0,s,titanRPG,p,"A very specialized explosive weapon with high damage, but takes forever to load, so carry a strong backup."
Eraser,Eraser-ZR100,emerald,,15,0,0,r,eraser,s,An experiemental Biosquad blaster able to spray zombie repellent and occasional darts with the alternative fire.  Inflicts Wither and Weakness on zombies
Abolisher,Abolisher-ZR800,netherite_ingot,,5,3,0,r,abolisher,p,An experiemental Biosquad blaster able to spray zombie repellent or a shotgun blast with the alternative fire.  Inflicts Wither and Weakness on zombies.
Sweet-Revenge,Sweet Revenge,pink_dye,,16,0,0,r,sweetRevenge,s,"Similar to the Hammershot, except that the alternative fire can heal teammates.  "
